Nr;Tipo;Data Inizio;Data Fine;Nome del progetto;Sito web di riferimento;Stato di attività;Scopo principale del progetto;Descrizione degli aspetti di CS (ad esempio in base ai 10 principi di ECSA).;PROVINCE;Luogo di svolgimento del progetto (città, provincia);Entità geografica del progetto;Principale organizzazione promotrice;Keywords;immagine;iNaturalist;Risultati;Argomenti scientifici;Tipo di pubblico;Livello difficoltà;Come partecipare;Cosa portare;Lat;Lng;Programma finanziamento;Punto di contatto pubblico;E-mail contatto;Email utente
;Progetto;;;;;active;;;"Nomi separati da ;";Testo libero, tipo Coste Italiane;Nazionale;;"Separate da ;";;Link o vuoto;Link o vuoto;"Euroscivoc separati da ;";Pubblico generico;Non indicato;;;43.596306;10.810460;;;;
;Attività;;;;;abandoned;;;;;Provinciale;;;;;;;Ricercatori;Facile;;;;;;;;
;;;;;;completed;;;;;Comunale;;;;;;;Appassionati;Medio;;;;;;;;
;;;;;;not_started;;;;;Regionale;;;;;;;Scuole;Difficile;;;;;;;;
;;;;;;;;;;;;;;;;;;Testo libero (altro);;;;;;;;;
