"title","place","description","start_date","end_date","url"
"Biodiversity Sampling Week (BSW)","Italia","NBFC si prepara a una settimana tutta dedicata al monitoraggio della biodiversità (Biodiversity Sampling Week - BSW, 12-18 Maggio 2025) con il coinvolgimento attivo dei/delle suoi/sue scienziati/e. ","2025-05-12 00:01:00","2025-05-18 23:59:00","https://www.citizenscience.it/convegno25/"
"2° CONVEGNO NAZIONALE

Nuovi orizzonti per
la Citizen Science in Italia","Bologna","Tre giornate di presentazioni sui nuovi orizzonti della Citizen Science in Italia, oltre al “Citizen Science Day”, un evento partecipativo aperto a tutta la cittadinanza!","2025-04-09 14:30:00","2025-04-12 16:00:00","https://www.citizenscience.it/convegno25/"
"School of Ants, a scuola con le formiche","online","La Citizen Science, un ponte tra Ricerca e Scuola
Corso base a cura di MUSE – Museo delle Scienze di Trento e Dipartimento SCVSA – Università di Parma","2025-05-06 13:00:00","2025-05-06 17:00:00","https://ilmuseperlascuola.muse.it/docenti/incontri-formativi-e-di-aggiornamento/school-of-ants-a-scuola-con-le-formiche/"
"scoutNaturalist Palermo","Palermo","L’AGESCI ha avviato una collaborazione con il Consiglio Nazionale delle Ricerche (CNR) al fine di supportare la conoscenza della biodiversità italiana, contribuendo così a svolgere un ruolo costruttivo nella società.

Tale iniziativa si colloca nell’ambito del progetto nazionale del Biodiversity Gateway, del Centro Nazionale della Biodiversità (National Biodiversity Future Center – NBFC), finanziato dai fondi Next Generation EU, con l’obiettivo di studiare e preservare gli ecosistemi e la biodiversità.
","2025-04-04 17:05:00","2025-04-06 17:00:00","https://www.agesci.it/2025/01/23/scoutnaturalist-gli-eventi-in-programma/"
"scoutNaturalist Venezia","Venezia","L’AGESCI ha avviato una collaborazione con il Consiglio Nazionale delle Ricerche (CNR) al fine di supportare la conoscenza della biodiversità italiana, contribuendo così a svolgere un ruolo costruttivo nella società.

Tale iniziativa si colloca nell’ambito del progetto nazionale del Biodiversity Gateway, del Centro Nazionale della Biodiversità (National Biodiversity Future Center – NBFC), finanziato dai fondi Next Generation EU, con l’obiettivo di studiare e preservare gli ecosistemi e la biodiversità.
","2025-05-09 17:00:00","2025-05-11 17:00:00","https://www.agesci.it/2025/01/23/scoutnaturalist-gli-eventi-in-programma/"
